epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0712,1.62783,3.55852,1.28117,0.00333,1,0.91212,0.63464,0.95678,2.98751,0.88282,0.0001,0.0001,0.0001
2,82.1753,1.19827,2.20069,1.00617,0.00333,1,0.98644,0.74991,0.82712,2.75342,0.84104,0.000215644,0.000215644,0.000215644
3,112.183,1.1221,1.72012,1.02564,0.00333,1,0.94501,0.68826,0.89489,2.902,0.87506,0.000326536,0.000326536,0.000326536
4,135.119,1.06103,1.51354,1.01361,0.00333,1,0.93501,0.70599,0.88308,2.81908,0.87972,0.000432676,0.000432676,0.000432676
5,157.573,1.1587,1.44855,1.04739,0.00333,1,0.90581,0.66395,0.9531,2.88236,0.90515,0.000534064,0.000534064,0.000534064
6,180.32,1.17572,1.70051,1.11292,0.00333,1,0.81456,0.61429,0.95099,2.94711,0.9054,0.0006307,0.0006307,0.0006307
7,203.42,1.18115,1.54195,1.04585,1,0.28126,0.85497,0.59406,1.00008,2.68516,0.93292,0.000722584,0.000722584,0.000722584
8,226.555,1.08237,1.3773,1.04631,1,0.32249,0.6531,0.48436,1.06209,2.81785,1.03659,0.000809716,0.000809716,0.000809716
9,249.226,1.07175,1.37722,1.02889,0.00333,1,0.01223,0.00673,1.19116,3.77722,1.38454,0.000892096,0.000892096,0.000892096
10,272.586,1.19309,1.4907,1.05264,0.60749,0.32307,0.33122,0.21249,1.15094,2.92437,1.1197,0.000969724,0.000969724,0.000969724
11,296.047,0.98346,1.24471,1.01231,0.76622,0.68327,0.72064,0.51788,1.02902,1.9655,0.93034,0.0010426,0.0010426,0.0010426
12,318.845,1.04467,1.24616,1.01834,0.64144,0.45833,0.55002,0.29248,1.32604,2.52505,1.18057,0.00111072,0.00111072,0.00111072
13,342.548,1.08492,1.14307,1.05699,0.62688,0.45833,0.62994,0.3547,1.23615,2.38757,1.14821,0.0011741,0.0011741,0.0011741
14,365.529,1.14245,1.23554,1.08758,0.78541,0.91667,0.82351,0.59441,1.02341,1.71725,0.99364,0.00123272,0.00123272,0.00123272
15,389.153,1.15988,1.27816,1.09438,0.8341,0.91667,0.90365,0.6735,0.98405,1.63099,0.98166,0.00128658,0.00128658,0.00128658
16,412.361,1.10651,1.18777,1.11949,1,0.95591,0.995,0.77651,0.92139,1.43258,0.95044,0.0013357,0.0013357,0.0013357
17,435.178,1.09084,1.15698,1.07433,0.98259,0.91667,0.97907,0.75469,0.94358,1.41915,0.97216,0.0013664,0.0013664,0.0013664
18,457.976,1.11348,1.15676,1.10242,1,0.8731,0.9717,0.75288,0.93487,1.23419,0.98096,0.0013268,0.0013268,0.0013268
19,480.658,1.05812,1.10799,1.06939,0.94178,0.91667,0.98175,0.74498,0.94319,1.18681,0.98845,0.0012872,0.0012872,0.0012872
20,503.946,1.03427,1.05705,1.05805,0.99091,0.95833,0.99192,0.74196,0.95769,0.96,0.98016,0.0012476,0.0012476,0.0012476
